nu,ratio_clasico_media,ratio_clasico_std,ratio_energetico_media,ratio_energetico_std
0.01,20526.42834331294,13410.452928996106,7.493183852052357,2.46506423679218
0.035789473684210524,2636671.357415973,2279620.1767375288,26.86843680812141,9.75611413344864
0.06157894736842105,86545480.30452079,83333087.48083392,47.446775044168106,17.460730278320053
0.08736842105263157,1959307962.5500565,2155671893.690616,69.18146865799014,25.774680404059044
0.1131578947368421,38250926306.49254,50015928028.03256,92.15164298902009,34.76064009725148
0.13894736842105262,728132080588.0692,1091050444489.6185,116.45301051738127,44.482803475236494
0.16473684210526315,13884720250508.225,22779323424165.082,142.19264537970736,55.012934713499774
0.19052631578947368,265669825066561.94,463669121256971.06,169.48889757588086,66.43143153524551
0.2163157894736842,5100957158053616.0,9316218941425150.0,198.47242434956172,78.82852574081413
0.24210526315789474,9.847513252537704e+16,1.8612204394581885e+17,229.28761559378648,92.30569147272868
0.26789473684210524,1.9176361140384924e+18,3.7130670424734623e+18,262.09425842693037,106.97728056367119
0.29368421052631577,3.3693416442660532e+19,6.609339477528435e+19,297.06942879692735,122.97241836727378
0.3194736842105263,1.3171533630497363e+20,2.5040497304103345e+20,334.4096290409223,140.43720005771019
0.3452631578947368,2.0089745548832034e+20,2.914366497147115e+20,374.3331964871616,159.5372319181047
0.37105263157894736,4.172916830907294e+20,4.6087454776862874e+20,417.0830081536611,180.46056535797666
0.3968421052631579,6.511027712051205e+20,5.516102348426511e+20,462.92950308943045,203.42107239056497
0.4226315789473684,9.015829322656376e+20,7.246099137854635e+20,512.1740359826377,228.66230821097818
0.44842105263157894,1.0239574985973963e+21,7.250764349321427e+20,565.1525609954049,256.46189633826094
0.47421052631578947,1.1833228733367108e+21,7.898233070457659e+20,622.2396197221082,287.13644979448924
0.5,1.382403745135374e+21,9.201660346558344e+20,683.8525662380449,321.0470006792389
